method,tree_id,split,domain,ok,MAE,error_sum,gt_B1,gt_B2,gt_B3,gt_B4,pred_B1,pred_B2,pred_B3,pred_B4,err_B1,err_B2,err_B3,err_B4,delta_B1,delta_B2,delta_B3,delta_B4
v1_corrected,DAMIMAS_A21B_0802,train,DAMIMAS,True,0.0,0,1,2,2,4,1,2,2,4,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0803,train,DAMIMAS,True,0.5,2,1,1,8,4,1,1,7,5,0,0,1,1,0,0,-1,1
v1_corrected,DAMIMAS_A21B_0804,train,DAMIMAS,True,0.0,0,1,2,5,1,1,2,5,1,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0805,train,DAMIMAS,True,0.75,3,2,4,3,3,3,4,4,4,1,0,1,1,1,0,1,1
v1_corrected,DAMIMAS_A21B_0806,train,DAMIMAS,True,0.25,1,1,0,5,1,1,0,6,1,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0807,train,DAMIMAS,True,0.0,0,0,1,1,10,0,1,1,10,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0808,train,DAMIMAS,True,0.75,3,2,1,3,4,3,2,3,5,1,1,0,1,1,1,0,1
v1_corrected,DAMIMAS_A21B_0809,val,DAMIMAS,True,0.5,2,2,2,6,2,3,2,7,2,1,0,1,0,1,0,1,0
v1_corrected,DAMIMAS_A21B_0546,test,DAMIMAS,True,0.25,1,2,5,4,5,2,6,4,5,0,1,0,0,0,1,0,0
v1_corrected,DAMIMAS_A21B_0547,test,DAMIMAS,True,0.25,1,1,5,6,0,1,6,6,0,0,1,0,0,0,1,0,0
v1_corrected,DAMIMAS_A21B_0548,test,DAMIMAS,True,0.25,1,1,3,4,3,1,3,4,4,0,0,0,1,0,0,0,1
v1_corrected,DAMIMAS_A21B_0549,test,DAMIMAS,True,0.0,0,1,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0550,test,DAMIMAS,True,0.0,0,2,4,4,5,2,4,4,5,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0551,test,DAMIMAS,True,0.25,1,3,3,7,4,4,3,7,4,1,0,0,0,1,0,0,0
v1_corrected,DAMIMAS_A21B_0552,test,DAMIMAS,True,0.25,1,3,4,2,0,4,4,2,0,1,0,0,0,1,0,0,0
v1_corrected,DAMIMAS_A21B_0553,test,DAMIMAS,True,1.0,4,1,1,5,3,2,2,6,2,1,1,1,1,1,1,1,-1
v1_corrected,DAMIMAS_A21B_0554,test,DAMIMAS,False,1.0,4,2,3,4,5,2,3,6,7,0,0,2,2,0,0,2,2
v1_corrected,DAMIMAS_A21B_0555,test,DAMIMAS,True,0.5,2,0,3,3,1,0,4,4,1,0,1,1,0,0,1,1,0
v1_corrected,DAMIMAS_A21B_0556,test,DAMIMAS,True,0.25,1,2,4,4,3,2,4,4,2,0,0,0,1,0,0,0,-1
v1_corrected,DAMIMAS_A21B_0557,test,DAMIMAS,False,1.0,4,1,1,3,4,2,1,5,5,1,0,2,1,1,0,2,1
v1_corrected,DAMIMAS_A21B_0558,test,DAMIMAS,True,0.75,3,0,3,4,3,0,4,5,4,0,1,1,1,0,1,1,1
v1_corrected,DAMIMAS_A21B_0559,test,DAMIMAS,True,0.0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0560,test,DAMIMAS,True,0.0,0,0,2,3,0,0,2,3,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0561,test,DAMIMAS,True,0.25,1,1,2,6,3,1,2,6,4,0,0,0,1,0,0,0,1
v1_corrected,DAMIMAS_A21B_0562,test,DAMIMAS,False,0.5,2,2,4,6,4,2,4,4,4,0,0,2,0,0,0,-2,0
v1_corrected,DAMIMAS_A21B_0563,test,DAMIMAS,True,0.25,1,2,3,4,0,3,3,4,0,1,0,0,0,1,0,0,0
v1_corrected,DAMIMAS_A21B_0564,test,DAMIMAS,True,0.5,2,3,2,4,3,3,2,3,4,0,0,1,1,0,0,-1,1
v1_corrected,DAMIMAS_A21B_0565,test,DAMIMAS,True,0.5,2,0,0,6,4,0,0,7,5,0,0,1,1,0,0,1,1
v1_corrected,DAMIMAS_A21B_0566,test,DAMIMAS,True,0.75,3,1,4,5,3,2,4,6,4,1,0,1,1,1,0,1,1
v1_corrected,DAMIMAS_A21B_0567,test,DAMIMAS,True,0.25,1,3,4,5,2,3,4,6,2,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0568,test,DAMIMAS,True,0.25,1,2,3,4,3,2,3,4,4,0,0,0,1,0,0,0,1
v1_corrected,DAMIMAS_A21B_0569,test,DAMIMAS,False,0.75,3,2,2,4,6,3,2,4,4,1,0,0,2,1,0,0,-2
v1_corrected,DAMIMAS_A21B_0570,test,DAMIMAS,True,0.5,2,0,3,5,3,0,3,6,4,0,0,1,1,0,0,1,1
v1_corrected,DAMIMAS_A21B_0571,test,DAMIMAS,False,0.5,2,3,6,6,1,3,4,6,1,0,2,0,0,0,-2,0,0
v1_corrected,DAMIMAS_A21B_0572,test,DAMIMAS,True,0.25,1,2,3,2,2,2,3,1,2,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0573,test,DAMIMAS,True,0.5,2,0,2,3,9,0,3,3,8,0,1,0,1,0,1,0,-1
v1_corrected,DAMIMAS_A21B_0574,test,DAMIMAS,False,0.5,2,0,0,3,2,0,0,5,2,0,0,2,0,0,0,2,0
v1_corrected,DAMIMAS_A21B_0575,test,DAMIMAS,True,0.0,0,3,3,6,3,3,3,6,3,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0576,test,DAMIMAS,True,0.25,1,3,5,4,4,3,4,4,4,0,1,0,0,0,-1,0,0
